date,eur_ret,usd_ret,dxy_ret,spy_ret,ewj_ret,vix_ret,ma50_usd,ma100_usd,ma200_usd,rsi14_usd,rsi7_usd,bb_width,macd,macd_signal,macd_hist,usd_vs_ma50,usd_vs_ma200,volatility,ret_ma5,volume_chg,true_range,atr14,candle_body,candle_range,upper_shadow,lower_shadow,is_doji,is_bullish_engulfing,is_bearish_engulfing,is_hammer,is_shooting_star,is_inverted_hammer,weekday,us10,jp10,rate_diff,open,close,high,low,actual,prob_up,forecast,result,pnl_yen
2014-01-15,-0.0053370375785932,0.0032629558541267,0.0046168051708218,0.0053901018130342,0.0075187969924811,0.0046774987690793,102.7108,100.5962,99.7682,47.7272727272728,54.0540540540542,2.15865357645524,0.397623214548318,0.614083264198777,-0.216460049650458,1.8292,4.77180000000001,0.0057394298832982,-0.0005800096045339,0.0,0.599999999999994,0.733571428571431,0.359999999999999,0.599999999999994,0.149999999999991,0.0900000000000034,0,0,0,0,False,0,2,2.9,0.614,2.286,104.57,104.32,104.91,104.14,fall,0.053585901856422424,fall,win,25000.0
2014-01-16,0.0010290334435869,-0.0021044576238761,-0.0009191176470589,-0.0012996859092386,-0.0033167495854063,0.0041656456750795,102.8358,100.6561,99.79095,42.4731182795699,46.6836734693877,2.14979656319917,0.367589286869659,0.564784468732953,-0.197195181863294,1.48419999999999,4.52905,0.0073811349693251,-0.0009055358804058,0.0,0.769999999999996,0.750000000000002,0.25,0.769999999999996,0.340000000000003,0.179999999999993,0,0,0,0,False,0,3,2.86,0.614,2.246,104.35,104.3,104.46,104.19,fall,0.06396694481372833,fall,win,4999.999999999716
2014-01-17,-0.0060210000734269,-0.000191717791411,0.0036798528058878,-0.0042294761956403,0.002495840266223,0.0036603221083456,102.9408,100.7174,99.8207,42.4731182795699,42.3497267759563,2.1180517363558,0.338273938553087,0.51948236269698,-0.181208424143893,1.3592,4.4793,0.0025886864813038,0.0003155423722078,0.0,0.269999999999996,0.738571428571431,0.0499999999999971,0.269999999999996,0.109999999999999,0.109999999999999,0,0,0,0,False,0,4,2.84,0.614,2.226,104.19,104.16,104.31,103.87,fall,0.049972888082265854,fall,win,3000.0000000001137
2014-01-20,0.0010342025559577,-0.0013422818791946,0.0,0.0,0.0,0.0,103.0412,100.7654,99.85855,39.8563734290844,41.3333333333333,2.10995036109875,0.300283008236093,0.475642491804802,-0.175359483568709,1.11879999999999,4.30144999999999,0.0042242703533025,0.0022746424053943,0.0,0.439999999999998,0.735000000000002,0.0300000000000011,0.439999999999998,0.120000000000005,0.289999999999992,1,0,0,0,False,0,0,2.84,0.614,2.226,104.16,104.29,104.74,104.05,rise,0.9402215480804443,rise,win,13000.000000000966
2014-01-21,0.0005903623348831,0.0012480798771122,-0.0018331805682859,0.0029405358309737,0.0016597510373443,-0.013372234378799,103.1344,100.8128,99.89125,41.9642857142858,52.1739130434782,2.09913766755625,0.277466376127492,0.43600726866934,-0.158540892541848,1.15560000000001,4.39875000000001,0.0066161664589126,0.0001745156873514,0.0,0.689999999999998,0.767857142857145,0.13000000000001,0.689999999999998,0.449999999999989,0.109999999999999,0,0,0,0,False,1,1,2.85,0.614,2.236,104.28,104.49,104.56,103.99,rise,0.9149607419967651,rise,win,20999.999999999374
2014-01-22,-0.0010325245224574,0.0019177294083803,0.0013774104683194,0.0006515365403409,0.0024855012427505,-0.0150320354854608,103.2398,100.8602,99.9224,47.22222222222209,83.1858407079643,2.09256930967041,0.272382503379987,0.40328231561147,-0.130899812231483,1.25019999999999,4.5676,0.0054550674705714,-9.45296017978547e-05,0.0,0.570000000000007,0.747142857142859,0.209999999999994,0.570000000000007,0.0700000000000073,0.290000000000006,0,0,0,0,False,0,2,2.87,0.614,2.256,104.52,103.26,104.81,102.98,fall,0.11111297458410263,fall,win,125999.9999999991
2014-01-23,0.0110741971207086,-0.0117714613838643,-0.0100871160018339,-0.0081931633206729,-0.0198347107438016,0.0280210157618214,103.305,100.8912,99.9477,38.2753403933435,29.3859649122808,2.37446415007369,0.16717567996379,0.356060988481934,-0.188885308518143,-0.0450000000000017,3.31230000000002,0.0177222545031957,-0.0020279303537955,0.0,1.83,0.820714285714286,1.25999999999999,1.83,0.290000000000006,0.280000000000001,0,0,1,0,False,0,3,2.79,0.614,2.176,103.23,102.27,103.57,102.02,fall,0.09432703256607056,fall,win,96000.0000000008
2014-01-24,-0.0012413289521723,-0.0095874491574666,0.0013895321908291,-0.0213359592975546,-0.0151770657672849,0.0876125577999511,103.347,100.9231,99.9615,36.1428571428572,11.2627986348122,2.99922446115767,0.0038691866324285,0.285622628112033,-0.281753441479604,-1.077,2.3085,0.0151559597144812,-0.0039070766270066,0.0,1.55,0.860714285714287,0.960000000000008,1.55,0.339999999999989,0.25,0,0,0,0,False,0,4,2.75,0.614,2.136,102.23,102.54,102.9,101.77,rise,0.9140196442604065,rise,win,31000.000000000226
2014-01-27,-0.0003655505190816,0.0026400704018774,0.0,-0.004919224104198,-0.0128424657534246,0.0156634593868875,103.3982,100.9524,99.9777,35.217391304348,20.1342281879197,3.29656599636755,-0.102583127933542,0.207981476902918,-0.31056460483646,-0.858199999999997,2.56230000000001,0.0110200897210845,-0.0031106061707922,0.0,1.13000000000001,0.901428571428573,0.310000000000002,1.13000000000001,0.359999999999999,0.460000000000008,0,0,0,0,False,0,0,2.78,0.614,2.166,102.53,102.92,103.23,102.48,rise,0.9543455839157104,rise,win,39000.00000000006
2014-01-28,-0.000365684195129,0.0037058708796566,0.0004625346901016,0.0059547216448514,0.0086730268863834,-0.0405375633399427,103.4542,100.9778,99.99545,36.1428571428572,29.3413173652695,3.31964233964203,-0.154503509682584,0.135484479585817,-0.289987989268402,-0.534199999999999,2.92455,0.0072872133696074,-0.0026190479702833,0.0,0.75,0.917142857142858,0.390000000000001,0.75,0.310000000000002,0.0499999999999971,0,0,0,0,False,0,1,2.77,0.614,2.156,102.91,102.27,103.42,101.87,fall,0.06090622767806053,fall,win,64000.00000000006
